Fact_Num	PBN.py	BignumInt.cpp
1	5.55E-005	1.97E-006
2	8.75E-005	8.88E-006
3	1.23E-004	1.36E-005
4	1.62E-004	1.86E-005
5	2.01E-004	2.27E-005
6	2.43E-004	2.81E-005
7	2.82E-004	3.46E-005
8	3.28E-004	4.13E-005
9	3.72E-004	4.82E-005
10	4.39E-004	5.89E-005
11	5.06E-004	6.82E-005
12	5.71E-004	7.75E-005
13	6.45E-004	8.81E-005
14	7.38E-004	9.87E-005
15	8.03E-004	1.11E-004
16	8.93E-004	1.21E-004
17	9.87E-004	1.33E-004
18	1.10E-003	1.45E-004
19	1.20E-003	1.56E-004
20	1.32E-003	1.70E-004
21	1.42E-003	1.80E-004
22	1.55E-003	1.96E-004
23	1.65E-003	2.18E-004
24	1.78E-003	2.25E-004
25	1.93E-003	2.41E-004
26	2.08E-003	2.53E-004
27	2.23E-003	2.66E-004
28	2.37E-003	2.82E-004
29	2.56E-003	2.90E-004
30	2.74E-003	3.06E-004
31	2.85E-003	3.25E-004
32	3.01E-003	3.50E-004
33	3.21E-003	3.61E-004
34	3.33E-003	3.82E-004
35	3.56E-003	4.00E-004
36	3.71E-003	4.21E-004
37	3.90E-003	4.44E-004
38	4.13E-003	4.69E-004
39	4.33E-003	4.76E-004
40	4.57E-003	5.04E-004
41	4.72E-003	5.20E-004
42	5.00E-003	5.41E-004
43	5.26E-003	5.65E-004
44	5.49E-003	5.89E-004
45	5.71E-003	6.13E-004
46	5.89E-003	6.38E-004
47	6.05E-003	6.64E-004
48	6.26E-003	6.89E-004
49	6.58E-003	7.22E-004
50	6.83E-003	7.31E-004
51	7.08E-003	7.74E-004
52	7.39E-003	7.88E-004
53	7.61E-003	8.16E-004
54	7.83E-003	8.66E-004
55	8.22E-003	8.92E-004
56	8.46E-003	9.41E-004
57	8.74E-003	9.38E-004
58	8.96E-003	9.86E-004
59	9.25E-003	9.96E-004
60	9.44E-003	1.03E-003
61	9.78E-003	1.07E-003
62	1.02E-002	1.09E-003
63	1.04E-002	1.14E-003
64	1.11E-002	1.16E-003
65	1.11E-002	1.20E-003
66	1.15E-002	1.25E-003
67	1.20E-002	1.27E-003
68	1.22E-002	1.31E-003
69	1.26E-002	1.35E-003
70	1.27E-002	1.37E-003
71	1.29E-002	1.42E-003
72	1.33E-002	1.47E-003
73	1.36E-002	1.50E-003
74	1.41E-002	1.56E-003
75	1.43E-002	1.60E-003
76	1.48E-002	1.64E-003
77	1.51E-002	1.69E-003
78	1.55E-002	1.75E-003
79	1.59E-002	1.75E-003
80	1.63E-002	1.80E-003
81	1.67E-002	1.84E-003
82	1.70E-002	1.89E-003
83	1.76E-002	1.96E-003
84	1.80E-002	2.02E-003
85	1.84E-002	2.07E-003
86	1.88E-002	2.19E-003
87	1.93E-002	2.19E-003
88	1.96E-002	2.26E-003
89	1.99E-002	2.29E-003
90	2.04E-002	2.33E-003
91	2.09E-002	2.38E-003
92	2.12E-002	2.46E-003
93	2.17E-002	2.49E-003
94	2.20E-002	2.57E-003
95	2.25E-002	2.64E-003
96	2.30E-002	2.70E-003
97	2.35E-002	2.75E-003
98	2.40E-002	2.82E-003
99	2.44E-002	2.88E-003
100	2.49E-002	2.95E-003
