Fact_Num	PBY.py	BignumInt.cpp
1	0	0
2	0.00015	0
3	0	0
4	0.00016	0.00015
5	0.00016	0
6	0.00015	0
7	0.00016	0
8	0.00016	0.00016
9	0.00031	0
10	0.00015	0
11	0.00032	0.00015
12	0.00031	0
13	0.00031	0.00016
14	0.00047	0.00016
15	0.00047	0
16	0.00062	0.00015
17	0.00063	0.00016
18	0.00062	0.00016
19	0.00079	0.00015
20	0.00093	0.00016
21	0.00094	0.00015
22	0.00094	0.00032
23	0.00109	0.00015
24	0.0011	0.00032
25	0.00125	0.00015
26	0.0014	0.00031
27	0.00141	0.00032
28	0.0014	0.00031
29	0.00156	0.00031
30	0.00172	0.00031
31	0.00188	0.00032
32	0.00187	0.00047
33	0.00203	0.00031
34	0.00219	0.00047
35	0.00234	0.00047
36	0.0025	0.00046
37	0.0025	0.00047
38	0.00266	0.00047
39	0.00266	0.00063
40	0.00297	0.00047
41	0.00312	0.00062
42	0.00313	0.00063
43	0.00328	0.00062
44	0.00343	0.00063
45	0.0036	0.00078
46	0.00375	0.00062
47	0.00391	0.00078
48	0.00391	0.00078
49	0.00422	0.00079
50	0.00437	0.00078
